month_dispensed,abstral,actiq,duragesic,fentanyl,fentanyl_citrate,fentora,lazanda,subsys,all_drug_total
Sep-01-2011,9,39,487,10461,392,330,0,0,11718
Oct-2011,4,38,470,10535,418,352,0,0,11817
Nov-2011,5,49,521,11012,425,405,1,0,12418
Dec-2011,4,40,571,11746,418,448,2,0,13229
Jan-2012,2,36,553,11603,407,329,0,0,12930
Feb-2012,3,35,548,11124,399,326,2,0,12437
Mar-2012,4,35,580,12071,369,343,3,7,13412
Apr-2012,0,33,566,11372,319,309,3,56,12658
May-2012,1,30,596,12423,353,322,1,51,13777
Jun-2012,1,27,569,11696,315,314,0,46,12968
Jul-2012,1,29,546,11822,349,282,2,42,13073
Aug-2012,1,28,560,12898,362,283,0,45,14177
Sep-2012,2,25,507,11224,308,242,0,35,12343
Oct-2012,2,29,525,12007,327,260,0,35,13185
Nov-2012,2,25,541,12280,339,272,0,46,13505
Dec-2012,2,23,520,11603,317,243,2,52,12762
Jan-2013,2,27,536,12033,341,261,1,53,13254
Feb-2013,1,23,483,10891,286,227,0,69,11980
Mar-2013,1,23,515,11757,303,240,3,76,12918
Apr-2013,0,24,515,11901,297,244,5,87,13073
May-2013,1,28,522,12467,302,242,11,131,13704
Jun-2013,2,20,469,11424,266,218,5,155,12559
Jul-2013,2,24,504,12462,280,233,7,181,13693
Aug-2013,1,25,510,11821,264,218,5,161,13005
Sep-2013,2,21,468,10937,255,206,5,188,12082
Oct-2013,7,27,481,12051,258,213,4,257,13298
Nov-2013,10,21,478,11121,238,196,4,246,12314
Dec-2013,7,22,491,11747,249,201,1,259,12977
Jan-2014,11,18,473,11585,236,205,1,270,12799
Feb-2014,14,22,405,10363,233,190,1,244,11472
Mar-2014,12,19,421,11105,232,180,1,250,12220
Apr-2014,4,21,424,11272,232,185,4,349,12491
May-2014,4,17,413,11682,250,180,4,312,12862
Jun-2014,6,22,401,11109,235,178,4,267,12222
Jul-2014,0,17,396,11888,239,174,7,285,13006
Aug-2014,2,16,396,11473,217,165,7,263,12539
Sep-2014,1,16,375,11098,212,156,5,294,12157
Oct-2014,0,14,416,11716,213,166,6,292,12823
Nov-2014,2,15,348,10683,204,155,7,224,11638
Dec-2014,2,20,414,11663,228,180,3,234,12744
Jan-2015,1,18,340,10939,201,147,9,214,11869
Feb-2015,3,15,310,10175,187,136,9,202,11037
Mar-2015,2,17,347,11213,204,152,12,228,12175
Apr-2015,2,18,357,11147,191,153,12,230,12110
May-2015,1,20,347,10961,205,143,12,231,11920
Jun-2015,1,14,341,11037,211,152,11,232,11999
Jul-2015,3,19,329,11311,204,150,14,217,12247
Aug-2015,4,18,294,10848,192,146,13,199,11714
Sep-2015,2,19,310,10806,188,157,16,208,11706
Oct-2015,2,18,329,10997,198,153,15,197,11909
Nov-2015,3,17,295,10173,183,145,22,203,11041
Dec-2015,5,16,347,11125,185,145,14,238,12075
Jan-2016,3,13,288,10169,184,138,15,177,10987
Feb-2016,8,15,296,10196,176,147,21,189,11048
Mar-2016,5,11,317,10869,183,152,21,178,11736
Apr-2016,7,11,289,10126,170,135,18,156,10912
May-2016,7,11,279,10013,170,146,18,162,10806
Jun-2016,3,13,290,9946,152,128,14,136,10682
Jul-2016,3,12,278,9870,132,124,22,117,10558
Aug-2016,5,14,297,9875,137,126,17,113,10584
Sep-2016,3,12,292,9597,124,116,12,122,10278
Oct-2016,1,11,281,9176,121,119,18,85,9812
Nov-2016,4,14,281,9358,110,96,13,65,9941
Dec-2016,4,10,268,9322,119,87,16,48,9874
Jan-2017,5,11,241,8909,116,68,14,45,9409
Feb-22-2017,3,5,145,5593,61,51,6,24,5888
